ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,224,False,-0.41961323281459045,-0.16587137321512274,-0.15292460476048292,-0.29961323281459046,0.41961323281459045,0.7849,0.6227,0.95,0.591565,False,
SATS,EchoStar Corporation,Technology,Communication Equipment,hard_filter_rejected,step2_hard_filters,consecutive_losses;interest_coverage;excessive_leverage;severe_dilution,,,,,,,,,,,,,
FISV,"Fiserv, Inc.",Technology,Information Technology Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0,148,False,-0.29755568720710635,0.22082318798638872,0.29842070660088205,-0.24326928239315743,0.3632692823931574,0.6667,0.368307,1.0,0.368307,False,
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,38,False,-0.1418035833444446,0.048922635457711326,0.055682635284028975,-0.021803583344444603,0.1418035833444446,0.978,0.8392,0.95,0.79724,False,
DXCM,"DexCom, Inc.",Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,203,False,-0.3750304292002693,-0.10919636839244048,-0.09885516647482288,-0.2550304292002693,0.3750304292002693,0.7084,0.59121,1.0,0.59121,False,
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance - Brokers,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,226,False,-0.4210160339181311,-0.24060772791126503,-0.24356387458974488,-0.3010160339181311,0.4210160339181311,0.7772,0.56133,1.0,0.56133,False,
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
FOXA,Fox Corporation,Communication Services,Entertainment,eligible,step7_risk_adjusted_ranking,eligible,2,True,0.12831436818894038,0.28794399957405403,0.31076018144376577,0.11767130412627014,0.002328695873729858,0.901,0.6848550000000001,1.0,0.6848550000000001,False,
VRSK,"Verisk Analytics, Inc.",Technology,Software - Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,145,False,-0.29416235513228456,-0.03469164289635954,-0.020027287933044105,-0.17416235513228456,0.29416235513228456,0.943,0.7063200000000001,1.0,0.7063200000000001,False,
FSLR,"First Solar, Inc.",Energy,Solar,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,213,False,-0.39560549497429753,-0.1037788482783071,-0.09518881330732251,-0.27560549497429754,0.39560549497429753,0.3846,0.4756,1.0,0.4756,False,
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,290,False,-0.824481009475421,-0.20073598275921534,-0.09441096415976058,-0.704481009475421,0.824481009475421,0.66,0.48924,1.0,0.48924,False,
INCY,Incyte Corporation,Healthcare,Biotechnology,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,87,False,-0.2249899459583684,0.02849258887290492,0.03663446799619126,-0.10498994595836841,0.2249899459583684,0.813,0.66411,1.0,0.66411,False,
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.8512,1.0,,,
FFIV,"F5, Inc.",Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,151,False,-0.3013217387185432,-0.10165307988536365,-0.09445113469118946,-0.18132173871854318,0.3013217387185432,0.9286,0.7338600000000001,0.95,0.697167,False,
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,225,False,-0.42083998523186883,-0.17032045064406698,-0.15994025099207645,-0.30083998523186883,0.42083998523186883,0.8869,0.5706,1.0,0.5706,False,
FOX,Fox Corporation,Communication Services,Entertainment,hard_filter_rejected,step2_hard_filters,duplicate_share_class,,,,,,,,,,,,,
EXE,Expand Energy Corporation,Energy,Oil & Gas Exploration & Production,hard_filter_rejected,step2_hard_filters,severe_dilution,,,,,,,,,,,,,
EVRG,"Evergy, Inc.",Utilities,Regulated Electric,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf,,,,,,,,,,,,,
LNT,Alliant Energy Corporation,Utilities,Regulated Electric,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf;excessive_leverage,,,,,,,,,,,,,
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,eligible,step7_risk_adjusted_ranking,eligible,3,True,0.11643357470137636,0.24386586547188935,0.25340235414914797,0.15112261025933554,0.0,0.8706,0.8728,1.0,0.8728,False,
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,56,False,-0.1750697060243692,0.07971545438958857,0.09065624418726657,-0.05506970602436919,0.1750697060243692,0.9296,0.5637599999999999,1.0,0.5637599999999999,False,
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,watchlist,step6_scenario_valuation,specialist_missing_book_or_price,,,,,,,,,,,,,
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,hard_filter_rejected,step2_hard_filters,interest_coverage;excessive_leverage,,,,,,,,,,,,,
CHTR,"Charter Communications, Inc.",Communication Services,Telecommunications Services,watchlist,step2_material_event_gate,material_event_requires_reunderwriting,,,,,,,,,,,,,
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,watchlist,step2_material_event_gate,material_event_requires_reunderwriting,,,,,,,,,,,,,
CDW,CDW Corporation,Technology,Information Technology Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,79,False,-0.21570085495652158,0.05714369774286755,0.07632949323742652,-0.0957008549565216,0.21570085495652158,0.8474,0.7953,1.0,0.7953,False,
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,54,False,-0.17252473263535645,0.01782407011487524,0.0232381330104545,-0.05252473263535646,0.17252473263535645,0.842,0.656586,1.0,0.656586,False,
NWS,News Corporation,Communication Services,Entertainment,hard_filter_rejected,step2_hard_filters,duplicate_share_class,,,,,,,,,,,,,
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,194,False,-0.3581173616187879,-0.12283409330193532,-0.10590416890918275,-0.23811736161878788,0.3581173616187879,0.6961,0.673029,1.0,0.673029,False,
NDSN,Nordson Corporation,Industrials,Industrial - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,188,False,-0.3434577998839085,-0.16131473396198995,-0.15698376672662556,-0.22345779988390851,0.3434577998839085,0.7634,0.73809,1.0,0.73809,False,
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,211,False,-0.39398349586874243,-0.013989905896596572,0.02267090997193011,-0.27398349586874243,0.39398349586874243,0.6419,0.41184000000000004,1.0,0.41184000000000004,False,
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,research_queue,step7_risk_adjusted_ranking,robust_return<=0,21,False,-0.05911634050707957,0.11869777968020234,0.14139184889995593,0.05061557202094158,0.06938442797905842,0.6607624181748171,0.6,0.8,0.48,False,
NWSA,News Corporation,Communication Services,Entertainment,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,242,False,-0.43945576851721857,-0.177618661033921,-0.1600220895605162,-0.3194557685172186,0.43945576851721857,0.2107,0.4968000000000001,0.7,0.34776,False,
REG,Regency Centers Corporation,Real Estate,REIT - Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0,29,False,-0.1198736960119762,0.09144053462070759,0.12223644225984387,-0.0009471882967012624,0.12094718829670126,0.5591397849462364,0.6,0.8,0.48,False,
COO,"The Cooper Companies, Inc.",Healthcare,Medical - Instruments & Supplies,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,236,False,-0.4311812460469081,-0.176851435143908,-0.15992440363625066,-0.3111812460469081,0.4311812460469081,0.2599,0.62811,1.0,0.62811,False,
PTC,PTC Inc.,Technology,Software - Application,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,183,False,-0.33784101704251945,-0.06229984224191864,-0.046244936366565494,-0.21784101704251949,0.33784101704251945,0.6298,0.6763,1.0,0.6763,False,
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel - Retail,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
ALGN,"Align Technology, Inc.",Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,154,False,-0.30326591719524,-0.1255449369840789,-0.13022298782016142,-0.18326591719524,0.30326591719524,0.7146,0.42857100000000004,0.7999999999999999,0.3428568,False,
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,249,False,-0.4569841833962709,-0.21149807589063127,-0.20598551381845026,-0.3369841833962709,0.4569841833962709,0.5296,0.524151,1.0,0.524151,False,
TRMB,Trimble Inc.,Technology,"Hardware, Equipment & Parts",research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,257,False,-0.4666623173677363,-0.22515957477444315,-0.2029001983115449,-0.3466623173677363,0.4666623173677363,0.2532,0.6400800000000001,1.0,0.6400800000000001,False,
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate - Services,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.7122,1.0,,,
ERIE,Erie Indemnity Company,Financial Services,Insurance - Property & Casualty,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,109,False,-0.2557886783889418,-0.052583282583849617,-0.039160516309119986,-0.13578867838894182,0.2557886783889418,0.5886342816859955,0.6,0.8,0.48,False,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,research_queue,step7_risk_adjusted_ranking,robust_return<=0,18,False,-0.046862207145560254,0.24473885662155231,0.2523830928839744,0.02648188704624775,0.09351811295375224,0.7238,0.352431,1.0,0.352431,False,
PODD,Insulet Corp.,Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,221,False,-0.4118626592319925,-0.13511353750582203,-0.11721982643648513,-0.2918626592319925,0.4118626592319925,0.5091,0.6942,1.0,0.6942,False,
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,300,False,-1.0699999999999998,-0.19534832196368368,-0.028084457968361648,-0.95,1.0699999999999998,0.7,0.52002,0.85,0.442017,True,bear
PSKY,Paramount Skydance Corporation Class B Common Stock,Communication Services,Entertainment,hard_filter_rejected,step2_hard_filters,insufficient_financial_history,,,,,,,,,,,,,
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,251,False,-0.4598989887209609,-0.27526604689628587,-0.2755630103580189,-0.3398989887209609,0.4598989887209609,0.5567,0.5386500000000001,1.0,0.5386500000000001,False,
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,55,False,-0.17307430087123063,0.03282725872559243,0.04334748656838204,-0.05307430087123064,0.17307430087123063,0.9852,0.9253,1.0,0.9253,False,
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,94,False,-0.2302601839258568,0.04291161791625202,0.06671163751452697,-0.11026018392585679,0.2302601839258568,0.9859,0.8114399999999999,1.0,0.8114399999999999,False,
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,"Gambling, Resorts & Casinos",hard_filter_rejected,step2_hard_filters,interest_coverage,,,,,,,,,,,,,
HSIC,"Henry Schein, Inc.",Healthcare,Medical - Distribution,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,207,False,-0.38697856141254305,-0.15155235046986484,-0.1489040291053242,-0.26697856141254306,0.38697856141254305,0.7233,0.5078943,1.0,0.5078943,False,
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,65,False,-0.19281247257487844,0.061725899850716845,0.08662450257688763,-0.07281247257487845,0.19281247257487844,0.6714,0.44172,1.0,0.44172,False,
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,eligible,step7_risk_adjusted_ranking,eligible,7,True,0.06328622742901555,0.24529631539480762,0.2748973868321627,0.07284439061768354,0.04715560938231646,0.9118,0.713,1.0,0.713,False,
